79,9,Example helping children,example helping adults,example helping sick,example help elderly,example helping in schools,Organization,
21,10,2,9,2,2,4,9,0
21,4,2,9,2,2,4,9,4
21,10,2,9,2,2,4,9,0
21,10,2,9,2,2,4,9,0
21,10,2,9,2,2,4,9,0
21,1,1,1,1,1,1,1,0
21,1,5,8,1,1,1,1,1
20,3,5,2,2,1,1,5,4
20,7,7,3,5,3,5,9,4
20,5,8,5,8,5,3,6,4
21,8,3,3,4,3,2,5,4
21,4,4,4,4,4,4,7,4
22,6,6,4,3,3,5,5,0
22,7,8,5,3,1,4,3,0
20,8,9,6,3,4,5,4,0
17,10,10,2,2,2,3,5,0
32,4,4,6,6,5,6,4,1
23,3,4,8,9,6,5,3,1
23,2,2,8,7,3,6,2,1
13,3,6,7,9,5,7,1,1
52,1,2,6,3,1,3,5,1
65,1,4,2,5,4,1,2,1
14,2,4,4,3,7,6,5,2
16,4,3,6,2,8,3,4,2
25,1,3,8,4,6,5,3,2
30,3,4,9,7,9,3,5,2
21,5,6,7,8,8,6,4,2
27,4,4,5,2,6,5,3,2
32,3,2,7,4,7,4,6,2
17,6,8,4,3,8,5,2,2
80,2,7,8,4,6,2,1,2
59,6,5,9,6,9,3,1,3
56,9,7,7,5,3,1,6,3
42,5,4,6,6,4,3,5,3
12,4,3,8,8,6,3,4,3
21,5,5,8,4,5,5,3,3
31,7,3,7,5,7,6,7,3
45,6,5,7,4,4,5,8,3
21,7,7,3,3,5,5,7,4
31,8,5,5,4,3,4,6,4
21,9,6,4,5,6,6,7,4
14,6,8,2,5,9,3,5,4
21,10,,10,2,2,4,9,0
21,10,2,10,2,2,4,9,1
21,10,2,9,2,2,4,9,4
21,10,2,9,2,2,4,9,4
21,10,2,9,2,2,4,9,4
21,1,1,1,1,0,1,1,4
21,1,5,8,0,1,1,0,4
20,3,5,2,2,1,1,5,0
20,7,7,3,5,3,5,9,0
20,5,8,5,8,5,3,6,0
21,8,3,3,4,3,2,5,0
21,4,4,4,4,4,4,7,1
22,6,6,4,3,3,5,5,1
22,7,8,5,3,0,4,3,1
20,8,9,6,3,4,5,4,1
17,10,10,2,2,2,3,5,1
32,4,4,6,6,5,6,4,1
23,3,4,8,9,6,5,3,2
23,2,2,8,7,3,6,2,2
13,3,6,7,9,5,7,0,2
52,1,2,6,3,1,3,5,2
65,1,4,2,5,4,1,2,2
14,2,4,4,3,7,6,5,2
16,4,3,6,2,8,3,4,2
25,1,3,8,4,6,5,3,2
30,3,4,9,7,10,3,5,2
21,5,6,7,8,8,6,4,3
27,4,4,5,2,6,5,3,3
32,3,2,7,4,7,4,6,3
17,6,8,4,3,8,5,2,3
80,2,7,8,4,6,2,0,3
59,6,5,9,6,9,3,1,3
56,9,7,7,5,3,0,6,3
42,5,4,6,6,4,3,5,4
12,4,3,8,8,6,3,4,4
21,5,5,8,4,5,5,3,4
31,7,3,7,5,7,6,7,4
